Player,Elo,Total Games,Win,Lost,Win Rate,Status
Steven,2543.788399368068,20,19,1,95.0%,normal
無敵,2513.762819481119,6,6,0,100.0%,normal
Hikarunsai,2496.8360105117154,4,3,1,75.0%,new
Michael Cheung,2466.2065043087337,16,12,4,75.0%,normal
Magic,2349.736326214021,38,31,7,81.58%,normal
Mike,2331.1964260320856,33,20,13,60.61%,normal
Chiwing,2323.3835438943242,1,1,0,100.0%,new
PCW,2315.2153227334215,3,2,1,66.67%,new
Interlude,2258.795346886391,5,2,3,40.0%,inactive
Anson,2233.025631373248,30,16,14,53.33%,normal
Jak,2195.416717577664,33,19,14,57.58%,normal
omgglol,2168.069718794949,14,10,4,71.43%,normal
Alfred,2164.6830837189473,6,5,1,83.33%,normal
Ramen,2163.2955425562873,6,6,0,100.0%,inactive
Chun,2159.747887525563,37,21,16,56.76%,normal
Pepe,2147.4196504581873,10,6,4,60.0%,normal
Jason,2137.7801472124584,2,1,1,50.0%,inactive
蘋果糖,2135.5470258088126,3,2,1,66.67%,new
Isaac,2131.3994514222904,6,4,2,66.67%,normal
don,2095.7140636249114,32,16,16,50.0%,normal
Sum,2095.6025289126706,23,12,11,52.17%,normal
Dominic,2079.031175173067,2,1,1,50.0%,inactive
Kuroba,2076.543182439765,1,0,1,0.0%,new
MYKiller,2073.6285955357484,1,0,1,0.0%,inactive
Rado,2067.054985588267,37,16,21,43.24%,normal
keith,2064.3184283142173,3,1,2,33.33%,new
Horace,2050.62738934264,22,10,12,45.45%,normal
Wai,2028.022163926687,17,8,9,47.06%,normal
Stanley,2015.6674462930682,4,0,4,0.0%,new
honpan,1892.0182640573132,31,5,26,16.13%,normal
Kyoto,1786.694325944701,7,7,0,100.0%,normal
Bus,1754.2541730189494,36,9,27,25.0%,normal
Walter,1690.830937177175,1,0,1,0.0%,inactive
LY,1657.2053226965668,7,0,7,0.0%,normal
Mike 11,1621.600689911462,4,2,2,50.0%,inactive
早晨,1591.7258713441793,12,7,5,58.33%,normal
Walter 3000,1376.73606863735,4,3,1,75.0%,inactive
Tommy,1294.7018155720446,1,0,1,0.0%,inactive
Hera,1214.0443257642983,6,2,4,33.33%,normal
Wormwood,1201.2263078474589,12,4,8,33.33%,normal
Winnie,1065.6911069462274,14,6,8,42.86%,normal
Analogman,1024.9950479046154,8,4,4,50.0%,normal
CCB,1012.485024590184,13,5,8,38.46%,normal
maboroshi,953.4841241305543,10,2,8,20.0%,inactive
Wing,924.4773464163345,7,1,6,14.29%,inactive
Tracy,906.3327413888196,21,7,14,33.33%,normal
浪叔,904.9499462351749,2,1,1,50.0%,inactive
Elise,870.0302147256043,7,2,5,28.57%,normal
軒,829.9214231672378,5,0,5,0.0%,inactive
GodFather,812.8225919931868,13,1,12,7.69%,inactive
